symbol,tour,bet,pnl
BLIND_23,1,10.0,-10.0
BLIND_23,2,20.0,-20.0
BLIND_23,3,40.0,40.0
BLIND_23,4,10.0,10.0
BLIND_23,5,10.0,-10.0
BLIND_23,6,20.0,20.0
BLIND_23,7,10.0,10.0
BLIND_23,8,10.0,10.0
BLIND_23,9,10.0,-10.0
BLIND_23,10,20.0,20.0
BLIND_24,1,10.0,-10.0
BLIND_24,2,20.0,-20.0
BLIND_24,3,40.0,-40.0
BLIND_24,4,80.0,-80.0
BLIND_24,5,160.0,160.0
BLIND_24,6,10.0,-10.0
BLIND_24,7,20.0,-20.0
BLIND_24,8,40.0,-40.0
BLIND_24,9,80.0,-80.0
BLIND_24,10,160.0,-160.0
BLIND_25,1,10.0,10.0
BLIND_25,2,10.0,10.0
BLIND_25,3,10.0,-10.0
BLIND_25,4,20.0,20.0
BLIND_25,5,10.0,-10.0
BLIND_25,6,20.0,-20.0
BLIND_25,7,40.0,40.0
BLIND_25,8,10.0,-10.0
BLIND_25,9,20.0,-20.0
BLIND_25,10,40.0,-40.0
BLIND_26,1,10.0,-10.0
BLIND_26,2,20.0,20.0
BLIND_26,3,10.0,10.0
BLIND_26,4,10.0,10.0
BLIND_26,5,10.0,-10.0
BLIND_26,6,20.0,20.0
BLIND_26,7,10.0,-10.0
BLIND_26,8,20.0,-20.0
BLIND_26,9,40.0,40.0
BLIND_26,10,10.0,10.0
BLIND_27,1,10.0,10.0
BLIND_27,2,10.0,-10.0
BLIND_27,3,20.0,20.0
BLIND_27,4,10.0,-10.0
BLIND_27,5,20.0,-20.0
BLIND_27,6,40.0,40.0
BLIND_27,7,10.0,-10.0
BLIND_27,8,20.0,20.0
BLIND_27,9,10.0,10.0
BLIND_27,10,10.0,10.0
BLIND_28,1,10.0,10.0
BLIND_28,2,10.0,-10.0
BLIND_28,3,20.0,-20.0
BLIND_28,4,40.0,-40.0
BLIND_28,5,80.0,80.0
BLIND_28,6,10.0,10.0
BLIND_28,7,10.0,10.0
BLIND_28,8,10.0,10.0
BLIND_28,9,10.0,10.0
BLIND_28,10,10.0,10.0
BLIND_29,1,10.0,10.0
BLIND_29,2,10.0,10.0
BLIND_29,3,10.0,10.0
BLIND_29,4,10.0,10.0
BLIND_29,5,10.0,-10.0
BLIND_29,6,20.0,-20.0
BLIND_29,7,40.0,40.0
BLIND_29,8,10.0,-10.0
BLIND_29,9,20.0,20.0
BLIND_29,10,10.0,10.0
BLIND_30,1,10.0,10.0
BLIND_30,2,10.0,10.0
BLIND_30,3,10.0,-10.0
BLIND_30,4,20.0,20.0
BLIND_30,5,10.0,-10.0
BLIND_30,6,20.0,20.0
BLIND_30,7,10.0,10.0
BLIND_30,8,10.0,10.0
BLIND_30,9,10.0,-10.0
BLIND_30,10,20.0,-20.0
BLIND_31,1,10.0,-10.0
BLIND_31,2,20.0,-20.0
BLIND_31,3,40.0,-40.0
BLIND_31,4,80.0,-80.0
BLIND_31,5,160.0,-160.0
BLIND_31,6,320.0,320.0
BLIND_31,7,10.0,10.0
BLIND_31,8,10.0,10.0
BLIND_31,9,10.0,10.0
BLIND_31,10,10.0,-10.0
BLIND_32,1,10.0,-10.0
BLIND_32,2,20.0,20.0
BLIND_32,3,10.0,10.0
BLIND_32,4,10.0,-10.0
BLIND_32,5,20.0,20.0
BLIND_32,6,10.0,-10.0
BLIND_32,7,20.0,-20.0
BLIND_32,8,40.0,40.0
BLIND_32,9,10.0,10.0
BLIND_32,10,10.0,-10.0
BLIND_33,1,10.0,-10.0
BLIND_33,2,20.0,-20.0
BLIND_33,3,40.0,-40.0
BLIND_33,4,80.0,-80.0
